#
# 资金账户信息
#
# 1. 资金帐户 C12
# 2. 资金帐户类别
#   - 1 普通账户
#   - 2 信用账户
#   - 3 衍生品账户
# 3. 客户号 C20
# 4. 资金账户状态
#   - 0 正常
#   - 1 非正常
# 5. 资金限制：多选，多项值用逗号隔开
# 6. 交易权限：多选，多项值用逗号隔开
# 7. 资金权限：多选，多项值用逗号隔开，指特殊业务的权限开通情况
# 8. 信用账户标志
#   - 0 非信用账户
#   - 1 信用账户
#   - 2 融资随用专户
#   - 3 融券随用专户
#   - 4 融资先得专户
#   - 5 融券先得专户
#   - 6 息费专户
#   - 7 担保账户
# 9.信用状态
#   - 0 正常类
#   - 1 关注类
#   - 2 警戒类
#   - 3 追加平仓类
#   - 4 清偿平仓类
#   - 5 终止类
#   - 6 准客户
# 

#FundAcc    |FAccType   |ClientID               |FAccStatus |FundLimits |TrdRights  |FundRights |CreditFlag |CreStatus
188800000041|1          |188800000000041        |0          |           |           |           |0          |0
188800000042|1          |188800000000042        |0          |           |           |           |0          |0
188800000043|1          |188800000000043        |0          |           |           |           |0          |0
188800000044|1          |188800000000044        |0          |           |           |           |0          |0
188800000045|1          |188800000000045        |0          |           |           |           |0          |0
188800000046|1          |188800000000046        |0          |           |           |           |0          |0
188800000047|1          |188800000000047        |0          |           |           |           |0          |0
188800000048|1          |188800000000048        |0          |           |           |           |0          |0
188800000049|1          |188800000000049        |0          |           |           |           |0          |0
188800000050|1          |188800000000050        |0          |           |           |           |0          |0
188800000051|1          |188800000000051        |0          |           |           |           |0          |0
188800000052|1          |188800000000052        |0          |           |           |           |0          |0
188800000053|1          |188800000000053        |0          |           |           |           |0          |0
188800000054|1          |188800000000054        |0          |           |           |           |0          |0
188800000055|1          |188800000000055        |0          |           |           |           |0          |0
188800000056|1          |188800000000056        |0          |           |           |           |0          |0
188800000057|1          |188800000000057        |0          |           |           |           |0          |0
188800000058|1          |188800000000058        |0          |           |           |           |0          |0
188800000059|1          |188800000000059        |0          |           |           |           |0          |0
188800000060|1          |188800000000060        |0          |           |           |           |0          |0
188800000061|1          |188800000000061        |0          |           |           |           |0          |0
188800000062|1          |188800000000062        |0          |           |           |           |0          |0
188800000063|1          |188800000000063        |0          |           |           |           |0          |0
188800000064|1          |188800000000064        |0          |           |           |           |0          |0
188800000065|1          |188800000000065        |0          |           |           |           |0          |0
188800000066|1          |188800000000066        |0          |           |           |           |0          |0
188800000067|1          |188800000000067        |0          |           |           |           |0          |0
188800000068|1          |188800000000068        |0          |           |           |           |0          |0
188800000069|1          |188800000000069        |0          |           |           |           |0          |0
188800000070|1          |188800000000070        |0          |           |           |           |0          |0
188800000071|1          |188800000000071        |0          |           |           |           |0          |0
188800000072|1          |188800000000072        |0          |           |           |           |0          |0
188800000073|1          |188800000000073        |0          |           |           |           |0          |0
188800000074|1          |188800000000074        |0          |           |           |           |0          |0
188800000075|1          |188800000000075        |0          |           |           |           |0          |0
188800000076|1          |188800000000076        |0          |           |           |           |0          |0
188800000077|1          |188800000000077        |0          |           |           |           |0          |0
188800000078|1          |188800000000078        |0          |           |           |           |0          |0
188800000079|1          |188800000000079        |0          |           |           |           |0          |0
188800000080|1          |188800000000080        |0          |           |           |           |0          |0
188800000081|1          |188800000000081        |0          |           |           |           |0          |0
188800000082|1          |188800000000082        |0          |           |           |           |0          |0
188800000083|1          |188800000000083        |0          |           |           |           |0          |0
188800000084|1          |188800000000084        |0          |           |           |           |0          |0
188800000085|1          |188800000000085        |0          |           |           |           |0          |0
188800000086|1          |188800000000086        |0          |           |           |           |0          |0
188800000087|1          |188800000000087        |0          |           |           |           |0          |0
188800000088|1          |188800000000088        |0          |           |           |           |0          |0
188800000089|1          |188800000000089        |0          |           |           |           |0          |0
188800000090|1          |188800000000090        |0          |           |           |           |0          |0
188800000091|1          |188800000000091        |0          |           |           |           |0          |0
188800000092|1          |188800000000092        |0          |           |           |           |0          |0
188800000093|1          |188800000000093        |0          |           |           |           |0          |0
188800000094|1          |188800000000094        |0          |           |           |           |0          |0
188800000095|1          |188800000000095        |0          |           |           |           |0          |0
188800000096|1          |188800000000096        |0          |           |           |           |0          |0
188800000097|1          |188800000000097        |0          |           |           |           |0          |0
188800000098|1          |188800000000098        |0          |           |           |           |0          |0
188800000099|1          |188800000000099        |0          |           |           |           |0          |0
188800000100|1          |188800000000100        |0          |           |           |           |0          |0
188800000101|1          |188800000000101        |0          |           |           |           |0          |0
188800000102|1          |188800000000102        |0          |           |           |           |0          |0
188800000103|1          |188800000000103        |0          |           |           |           |0          |0
188800000104|1          |188800000000104        |0          |           |           |           |0          |0
188800000105|1          |188800000000105        |0          |           |           |           |0          |0
188800000106|1          |188800000000106        |0          |           |           |           |0          |0
188800000107|1          |188800000000107        |0          |           |           |           |0          |0
188800000108|1          |188800000000108        |0          |           |           |           |0          |0
188800000109|1          |188800000000109        |0          |           |           |           |0          |0
188800000110|1          |188800000000110        |0          |           |           |           |0          |0
188800000111|1          |188800000000111        |0          |           |           |           |0          |0
188800000112|1          |188800000000112        |0          |           |           |           |0          |0
188800000113|1          |188800000000113        |0          |           |           |           |0          |0
188800000114|1          |188800000000114        |0          |           |           |           |0          |0
188800000115|1          |188800000000115        |0          |           |           |           |0          |0
188800000116|1          |188800000000116        |0          |           |           |           |0          |0
188800000117|1          |188800000000117        |0          |           |           |           |0          |0
188800000118|1          |188800000000118        |0          |           |           |           |0          |0
188800000119|1          |188800000000119        |0          |           |           |           |0          |0
188800000120|1          |188800000000120        |0          |           |           |           |0          |0
188800000121|1          |188800000000121        |0          |           |           |           |0          |0
188800000122|1          |188800000000122        |0          |           |           |           |0          |0
188800000123|1          |188800000000123        |0          |           |           |           |0          |0
188800000124|1          |188800000000124        |0          |           |           |           |0          |0
188800000125|1          |188800000000125        |0          |           |           |           |0          |0
188800000126|1          |188800000000126        |0          |           |           |           |0          |0
188800000127|1          |188800000000127        |0          |           |           |           |0          |0
188800000128|1          |188800000000128        |0          |           |           |           |0          |0
188800000129|1          |188800000000129        |0          |           |           |           |0          |0
188800000130|1          |188800000000130        |0          |           |           |           |0          |0
188800000131|1          |188800000000131        |0          |           |           |           |0          |0
188800000132|1          |188800000000132        |0          |           |           |           |0          |0
188800000133|1          |188800000000133        |0          |           |           |           |0          |0
188800000134|1          |188800000000134        |0          |           |           |           |0          |0
188800000135|1          |188800000000135        |0          |           |           |           |0          |0
188800000136|1          |188800000000136        |0          |           |           |           |0          |0
188800000137|1          |188800000000137        |0          |           |           |           |0          |0
188800000138|1          |188800000000138        |0          |           |           |           |0          |0
188800000139|1          |188800000000139        |0          |           |           |           |0          |0
188800000140|1          |188800000000140        |0          |           |           |           |0          |0
188800000141|1          |188800000000141        |0          |           |           |           |0          |0
188800000142|1          |188800000000142        |0          |           |           |           |0          |0
188800000143|1          |188800000000143        |0          |           |           |           |0          |0
188800000144|1          |188800000000144        |0          |           |           |           |0          |0
188800000145|1          |188800000000145        |0          |           |           |           |0          |0
188800000146|1          |188800000000146        |0          |           |           |           |0          |0
188800000147|1          |188800000000147        |0          |           |           |           |0          |0
188800000148|1          |188800000000148        |0          |           |           |           |0          |0
188800000149|1          |188800000000149        |0          |           |           |           |0          |0
188800000150|1          |188800000000150        |0          |           |           |           |0          |0
188800000151|1          |188800000000151        |0          |           |           |           |0          |0
188800000152|1          |188800000000152        |0          |           |           |           |0          |0
188800000153|1          |188800000000153        |0          |           |           |           |0          |0
188800000154|1          |188800000000154        |0          |           |           |           |0          |0
188800000155|1          |188800000000155        |0          |           |           |           |0          |0
188800000156|1          |188800000000156        |0          |           |           |           |0          |0
188800000157|1          |188800000000157        |0          |           |           |           |0          |0
188800000158|1          |188800000000158        |0          |           |           |           |0          |0
188800000159|1          |188800000000159        |0          |           |           |           |0          |0
188800000160|1          |188800000000160        |0          |           |           |           |0          |0
188800000161|1          |188800000000161        |0          |           |           |           |0          |0
188800000162|1          |188800000000162        |0          |           |           |           |0          |0
188800000163|1          |188800000000163        |0          |           |           |           |0          |0
188800000164|1          |188800000000164        |0          |           |           |           |0          |0
188800000165|1          |188800000000165        |0          |           |           |           |0          |0
188800000166|1          |188800000000166        |0          |           |           |           |0          |0
188800000167|1          |188800000000167        |0          |           |           |           |0          |0
188800000168|1          |188800000000168        |0          |           |           |           |0          |0
188800000169|1          |188800000000169        |0          |           |           |           |0          |0
188800000170|1          |188800000000170        |0          |           |           |           |0          |0
188800000171|1          |188800000000171        |0          |           |           |           |0          |0
188800000172|1          |188800000000172        |0          |           |           |           |0          |0
188800000173|1          |188800000000173        |0          |           |           |           |0          |0
188800000174|1          |188800000000174        |0          |           |           |           |0          |0
188800000175|1          |188800000000175        |0          |           |           |           |0          |0
188800000176|1          |188800000000176        |0          |           |           |           |0          |0
188800000177|1          |188800000000177        |0          |           |           |           |0          |0
188800000178|1          |188800000000178        |0          |           |           |           |0          |0
188800000179|1          |188800000000179        |0          |           |           |           |0          |0
188800000180|1          |188800000000180        |0          |           |           |           |0          |0
188800000181|1          |188800000000181        |0          |           |           |           |0          |0
188800000182|1          |188800000000182        |0          |           |           |           |0          |0
188800000183|1          |188800000000183        |0          |           |           |           |0          |0
188800000184|1          |188800000000184        |0          |           |           |           |0          |0
188800000185|1          |188800000000185        |0          |           |           |           |0          |0
188800000186|1          |188800000000186        |0          |           |           |           |0          |0
188800000187|1          |188800000000187        |0          |           |           |           |0          |0
188800000188|1          |188800000000188        |0          |           |           |           |0          |0
188800000189|1          |188800000000189        |0          |           |           |           |0          |0
188800000190|1          |188800000000190        |0          |           |           |           |0          |0
188800000191|1          |188800000000191        |0          |           |           |           |0          |0
188800000192|1          |188800000000192        |0          |           |           |           |0          |0
188800000193|1          |188800000000193        |0          |           |           |           |0          |0
188800000194|1          |188800000000194        |0          |           |           |           |0          |0
188800000195|1          |188800000000195        |0          |           |           |           |0          |0
188800000196|1          |188800000000196        |0          |           |           |           |0          |0
188800000197|1          |188800000000197        |0          |           |           |           |0          |0
188800000198|1          |188800000000198        |0          |           |           |           |0          |0
188800000199|1          |188800000000199        |0          |           |           |           |0          |0
188800000200|1          |188800000000200        |0          |           |           |           |0          |0
188800000201|1          |188800000000201        |0          |           |           |           |0          |0
188800000202|1          |188800000000202        |0          |           |           |           |0          |0
188800000203|1          |188800000000203        |0          |           |           |           |0          |0
188800000204|1          |188800000000204        |0          |           |           |           |0          |0
188800000205|1          |188800000000205        |0          |           |           |           |0          |0
188800000206|1          |188800000000206        |0          |           |           |           |0          |0
188800000207|1          |188800000000207        |0          |           |           |           |0          |0
188800000208|1          |188800000000208        |0          |           |           |           |0          |0
188800000209|1          |188800000000209        |0          |           |           |           |0          |0
188800000210|1          |188800000000210        |0          |           |           |           |0          |0
188800000211|1          |188800000000211        |0          |           |           |           |0          |0
188800000212|1          |188800000000212        |0          |           |           |           |0          |0
188800000213|1          |188800000000213        |0          |           |           |           |0          |0
188800000214|1          |188800000000214        |0          |           |           |           |0          |0
188800000215|1          |188800000000215        |0          |           |           |           |0          |0
188800000216|1          |188800000000216        |0          |           |           |           |0          |0
188800000217|1          |188800000000217        |0          |           |           |           |0          |0
188800000218|1          |188800000000218        |0          |           |           |           |0          |0
188800000219|1          |188800000000219        |0          |           |           |           |0          |0
188800000220|1          |188800000000220        |0          |           |           |           |0          |0
188800000221|1          |188800000000221        |0          |           |           |           |0          |0
188800000222|1          |188800000000222        |0          |           |           |           |0          |0
188800000223|1          |188800000000223        |0          |           |           |           |0          |0
188800000224|1          |188800000000224        |0          |           |           |           |0          |0
188800000225|1          |188800000000225        |0          |           |           |           |0          |0
188800000226|1          |188800000000226        |0          |           |           |           |0          |0
188800000227|1          |188800000000227        |0          |           |           |           |0          |0
188800000228|1          |188800000000228        |0          |           |           |           |0          |0
188800000229|1          |188800000000229        |0          |           |           |           |0          |0
188800000230|1          |188800000000230        |0          |           |           |           |0          |0
188800000231|1          |188800000000231        |0          |           |           |           |0          |0
188800000232|1          |188800000000232        |0          |           |           |           |0          |0
188800000233|1          |188800000000233        |0          |           |           |           |0          |0
188800000234|1          |188800000000234        |0          |           |           |           |0          |0
188800000235|1          |188800000000235        |0          |           |           |           |0          |0
188800000236|1          |188800000000236        |0          |           |           |           |0          |0
188800000237|1          |188800000000237        |0          |           |           |           |0          |0
188800000238|1          |188800000000238        |0          |           |           |           |0          |0
188800000239|1          |188800000000239        |0          |           |           |           |0          |0
