#资金帐户     |交易市场|证券账户    |证券代码     |可用股份数           |成本价
#FundAcc C12|Market|SecuAcc    |StockCode C6|StkAvlQty          |CostPrice
B880000384  |1     |B880000384 |600000      |1000000000                |0
B880000384  |1     |B880000384 |600081      |1000000000                |0
B880000384  |1     |B880000384 |600082      |1000000000                |0
B880000384  |1     |B880000384 |600083      |1000000000                |0
B880000384  |1     |B880000384 |600084      |1000000000                |0
B880000384  |1     |B880000384 |600085      |1000000000                |0
B880000384  |1     |B880000384 |600086      |1000000000                |0
B880000384  |1     |B880000384 |600088      |1000000000                |0
B880000384  |1     |B880000384 |600089      |1000000000                |0
B880000384  |1     |B880000384 |600090      |1000000000                |0
B880000384  |1     |B880000384 |600091      |1000000000                |0
B880000384  |1     |B880000384 |600093      |1000000000                |0
B880000384  |1     |B880000384 |600094      |1000000000                |0
B880000384  |1     |B880000384 |600095      |1000000000                |0
B880000384  |1     |B880000384 |600096      |1000000000                |0
B880000384  |1     |B880000384 |600097      |1000000000                |0
B880000384  |1     |B880000384 |600098      |1000000000                |0
B880000384  |1     |B880000384 |600099      |1000000000                |0
B880000384  |1     |B880000384 |600100      |1000000000                |0
B880000384  |1     |B880000384 |600101      |1000000000                |0
B880000384  |1     |B880000384 |600103      |1000000000                |0
B880000384  |1     |B880000384 |600104      |1000000000                |0
B880000384  |1     |B880000384 |600105      |1000000000                |0
B880000384  |1     |B880000384 |600106      |1000000000                |0
B880000384  |1     |B880000384 |600107      |1000000000                |0
B880000384  |1     |B880000384 |600108      |1000000000                |0
B880000384  |1     |B880000384 |600109      |1000000000                |0
B880000384  |1     |B880000384 |600110      |1000000000                |0
B880000384  |1     |B880000384 |600111      |1000000000                |0
B880000384  |1     |B880000384 |600112      |1000000000                |0
B880000384  |1     |B880000384 |600113      |1000000000                |0
B880000384  |1     |B880000384 |600114      |1000000000                |0
B880000384  |1     |B880000384 |600115      |1000000000                |0
B880000384  |1     |B880000384 |600116      |1000000000                |0
B880000384  |1     |B880000384 |600117      |1000000000                |0
B880000384  |1     |B880000384 |600118      |1000000000                |0
B880000384  |1     |B880000384 |600119      |1000000000                |0
B880000384  |1     |B880000384 |600120      |1000000000                |0
B880000384  |1     |B880000384 |600121      |1000000000                |0
B880000384  |1     |B880000384 |600122      |1000000000                |0
B880000384  |1     |B880000384 |600123      |1000000000                |0
B880000384  |1     |B880000384 |600125      |1000000000                |0
B880000384  |1     |B880000384 |600126      |1000000000                |0
B880000384  |1     |B880000384 |600127      |1000000000                |0
B880000384  |1     |B880000384 |600128      |1000000000                |0
B880000384  |1     |B880000384 |600129      |1000000000                |0
B880000384  |1     |B880000384 |600130      |1000000000                |0
B880000384  |1     |B880000384 |600131      |1000000000                |0
B880000384  |1     |B880000384 |600132      |1000000000                |0
B880000384  |1     |B880000384 |600133      |1000000000                |0
B880000384  |1     |B880000384 |600135      |1000000000                |0
B880000384  |1     |B880000384 |600136      |1000000000                |0
B880000384  |1     |B880000384 |600137      |1000000000                |0
B880000384  |1     |B880000384 |600138      |1000000000                |0
B880000384  |1     |B880000384 |600139      |1000000000                |0
B880000384  |1     |B880000384 |600141      |1000000000                |0
B880000384  |1     |B880000384 |600143      |1000000000                |0
B880000384  |1     |B880000384 |600145      |1000000000                |0
B880000384  |1     |B880000384 |600146      |1000000000                |0
B880000384  |1     |B880000384 |600148      |1000000000                |0
B880000384  |1     |B880000384 |600149      |1000000000                |0
B880000384  |1     |B880000384 |600150      |1000000000                |0
B880000384  |1     |B880000384 |600151      |1000000000                |0
B880000384  |1     |B880000384 |600152      |1000000000                |0
B880000384  |1     |B880000384 |600153      |1000000000                |0
B880000384  |1     |B880000384 |600155      |1000000000                |0
B880000384  |1     |B880000384 |600156      |1000000000                |0
B880000384  |1     |B880000384 |600157      |1000000000                |0
B880000384  |1     |B880000384 |600158      |1000000000                |0
B880000384  |1     |B880000384 |600159      |1000000000                |0
B880000384  |1     |B880000384 |600160      |1000000000                |0
B880000384  |1     |B880000384 |600161      |1000000000                |0
B880000384  |1     |B880000384 |600162      |1000000000                |0
B880000384  |1     |B880000384 |600163      |1000000000                |0
B880000384  |1     |B880000384 |600165      |1000000000                |0
B880000384  |1     |B880000384 |600166      |1000000000                |0
B880000384  |1     |B880000384 |600167      |1000000000                |0
B880000384  |1     |B880000384 |600168      |1000000000                |0
B880000384  |1     |B880000384 |600169      |1000000000                |0
B880000384  |1     |B880000384 |600170      |1000000000                |0
B880000384  |1     |B880000384 |600171      |1000000000                |0
B880000384  |1     |B880000384 |600172      |1000000000                |0
B880000384  |1     |B880000384 |600173      |1000000000                |0
B880000384  |1     |B880000384 |600175      |1000000000                |0
B880000384  |1     |B880000384 |600176      |1000000000                |0
B880000384  |1     |B880000384 |600177      |1000000000                |0
B880000384  |1     |B880000384 |600178      |1000000000                |0
B880000384  |1     |B880000384 |600179      |1000000000                |0
B880000384  |1     |B880000384 |600180      |1000000000                |0
B880000384  |1     |B880000384 |600182      |1000000000                |0
B880000384  |1     |B880000384 |600183      |1000000000                |0
B880000384  |1     |B880000384 |600184      |1000000000                |0
B880000384  |1     |B880000384 |600185      |1000000000                |0
B880000384  |1     |B880000384 |600186      |1000000000                |0
B880000384  |1     |B880000384 |600187      |1000000000                |0
B880000384  |1     |B880000384 |600188      |1000000000                |0
B880000384  |1     |B880000384 |600189      |1000000000                |0
B880000384  |1     |B880000384 |600190      |1000000000                |0
B880000384  |1     |B880000384 |600191      |1000000000                |0
B880000384  |1     |B880000384 |600192      |1000000000                |0
B880000384  |1     |B880000384 |600193      |1000000000                |0
B880000384  |1     |B880000384 |600195      |1000000000                |0
B880000384  |1     |B880000384 |600196      |1000000000                |0
B880000384  |1     |B880000384 |600197      |1000000000                |0
B880000384  |1     |B880000384 |600198      |1000000000                |0
B880000384  |1     |B880000384 |600199      |1000000000                |0
B880000384  |1     |B880000384 |600200      |1000000000                |0
B880000384  |1     |B880000384 |600201      |1000000000                |0
B880000384  |1     |B880000384 |600202      |1000000000                |0
B880000384  |1     |B880000384 |600203      |1000000000                |0
B880000384  |1     |B880000384 |600206      |1000000000                |0
B880000384  |1     |B880000384 |600207      |1000000000                |0
B880000384  |1     |B880000384 |600208      |1000000000                |0
B880000384  |1     |B880000384 |600209      |1000000000                |0
B880000384  |1     |B880000384 |600210      |1000000000                |0
B880000384  |1     |B880000384 |600211      |1000000000                |0
B880000384  |1     |B880000384 |600212      |1000000000                |0
B880000384  |1     |B880000384 |600213      |1000000000                |0
B880000384  |1     |B880000384 |600215      |1000000000                |0
B880000384  |1     |B880000384 |600216      |1000000000                |0
B880000384  |1     |B880000384 |600217      |1000000000                |0
B880000384  |1     |B880000384 |600218      |1000000000                |0
B880000384  |1     |B880000384 |600219      |1000000000                |0
B880000384  |1     |B880000384 |600220      |1000000000                |0
B880000384  |1     |B880000384 |600221      |1000000000                |0
B880000384  |1     |B880000384 |600222      |1000000000                |0
B880000384  |1     |B880000384 |600223      |1000000000                |0
B880000384  |1     |B880000384 |600225      |1000000000                |0
B880000384  |1     |B880000384 |600226      |1000000000                |0
B880000384  |1     |B880000384 |600227      |1000000000                |0
B880000384  |1     |B880000384 |600228      |1000000000                |0
B880000384  |1     |B880000384 |600229      |1000000000                |0
B880000384  |1     |B880000384 |600230      |1000000000                |0
B880000384  |1     |B880000384 |600231      |1000000000                |0
B880000384  |1     |B880000384 |600232      |1000000000                |0
B880000384  |1     |B880000384 |600233      |1000000000                |0
B880000384  |1     |B880000384 |600234      |1000000000                |0
B880000384  |1     |B880000384 |600235      |1000000000                |0
B880000384  |1     |B880000384 |600236      |1000000000                |0
B880000384  |1     |B880000384 |600237      |1000000000                |0
B880000384  |1     |B880000384 |600238      |1000000000                |0
B880000384  |1     |B880000384 |600239      |1000000000                |0
B880000384  |1     |B880000384 |600240      |1000000000                |0
B880000384  |1     |B880000384 |600241      |1000000000                |0
B880000384  |1     |B880000384 |600242      |1000000000                |0
B880000384  |1     |B880000384 |600243      |1000000000                |0
B880000384  |1     |B880000384 |600246      |1000000000                |0
B880000384  |1     |B880000384 |600247      |1000000000                |0
B880000384  |1     |B880000384 |600248      |1000000000                |0
B880000384  |1     |B880000384 |600249      |1000000000                |0
B880000384  |1     |B880000384 |600250      |1000000000                |0
B880000384  |1     |B880000384 |600251      |1000000000                |0
B880000384  |1     |B880000384 |600252      |1000000000                |0
B880000384  |1     |B880000384 |600255      |1000000000                |0
B880000384  |1     |B880000384 |600256      |1000000000                |0
B880000384  |1     |B880000384 |600257      |1000000000                |0
B880000384  |1     |B880000384 |600258      |1000000000                |0
B880000384  |1     |B880000384 |600259      |1000000000                |0
B880000384  |1     |B880000384 |600260      |1000000000                |0
B880000384  |1     |B880000384 |600261      |1000000000                |0
B880000384  |1     |B880000384 |600262      |1000000000                |0
B880000384  |1     |B880000384 |600265      |1000000000                |0
B880000384  |1     |B880000384 |600266      |1000000000                |0
B880000384  |1     |B880000384 |600267      |1000000000                |0
B880000384  |1     |B880000384 |600268      |1000000000                |0
B880000384  |1     |B880000384 |600269      |1000000000                |0
B880000384  |1     |B880000384 |600270      |1000000000                |0
B880000384  |1     |B880000384 |600271      |1000000000                |0
B880000384  |1     |B880000384 |600272      |1000000000                |0
B880000384  |1     |B880000384 |600273      |1000000000                |0
B880000384  |1     |B880000384 |600275      |1000000000                |0
B880000384  |1     |B880000384 |600276      |1000000000                |0
B880000384  |1     |B880000384 |600277      |1000000000                |0
B880000384  |1     |B880000384 |600278      |1000000000                |0
B880000384  |1     |B880000384 |600279      |1000000000                |0
B880000384  |1     |B880000384 |600280      |1000000000                |0
B880000384  |1     |B880000384 |600281      |1000000000                |0
B880000384  |1     |B880000384 |600282      |1000000000                |0
B880000384  |1     |B880000384 |600283      |1000000000                |0
B880000384  |1     |B880000384 |600284      |1000000000                |0
B880000384  |1     |B880000384 |600285      |1000000000                |0
B880000384  |1     |B880000384 |600287      |1000000000                |0
B880000384  |1     |B880000384 |600288      |1000000000                |0
B880000384  |1     |B880000384 |600289      |1000000000                |0
B880000384  |1     |B880000384 |600290      |1000000000                |0
B880000384  |1     |B880000384 |600291      |1000000000                |0
B880000384  |1     |B880000384 |600292      |1000000000                |0
B880000384  |1     |B880000384 |600293      |1000000000                |0
B880000384  |1     |B880000384 |600295      |1000000000                |0
B880000384  |1     |B880000384 |600297      |1000000000                |0
B880000384  |1     |B880000384 |600298      |1000000000                |0
B880000384  |1     |B880000384 |600299      |1000000000                |0
B880000384  |1     |B880000384 |600300      |1000000000                |0
B880000384  |1     |B880000384 |600301      |1000000000                |0
B880000384  |1     |B880000384 |600302      |1000000000                |0
B880000384  |1     |B880000384 |600303      |1000000000                |0
B880000384  |1     |B880000384 |600305      |1000000000                |0
B880000384  |1     |B880000384 |600306      |1000000000                |0
B880000384  |1     |B880000384 |600307      |1000000000                |0
B880000384  |1     |B880000384 |600308      |1000000000                |0
B880000384  |1     |B880000384 |600309      |1000000000                |0
B880000384  |1     |B880000384 |600310      |1000000000                |0
B880000384  |1     |B880000384 |600311      |1000000000                |0
B880000384  |1     |B880000384 |600312      |1000000000                |0
B880000384  |1     |B880000384 |600313      |1000000000                |0
B880000384  |1     |B880000384 |600315      |1000000000                |0
B880000384  |1     |B880000384 |600316      |1000000000                |0
B880000384  |1     |B880000384 |600317      |1000000000                |0
B880000384  |1     |B880000384 |600318      |1000000000                |0
B880000384  |1     |B880000384 |600319      |1000000000                |0
B880000384  |1     |B880000384 |600320      |1000000000                |0
B880000384  |1     |B880000384 |600321      |1000000000                |0
B880000384  |1     |B880000384 |600322      |1000000000                |0
B880000384  |1     |B880000384 |600323      |1000000000                |0
B880000384  |1     |B880000384 |600325      |1000000000                |0
B880000384  |1     |B880000384 |600326      |1000000000                |0
B880000384  |1     |B880000384 |600327      |1000000000                |0
B880000384  |1     |B880000384 |600328      |1000000000                |0
B880000384  |1     |B880000384 |600329      |1000000000                |0
B880000384  |1     |B880000384 |600330      |1000000000                |0
B880000384  |1     |B880000384 |600331      |1000000000                |0
B880000384  |1     |B880000384 |600332      |1000000000                |0
B880000384  |1     |B880000384 |600333      |1000000000                |0
B880000384  |1     |B880000384 |600335      |1000000000                |0
B880000384  |1     |B880000384 |600336      |1000000000                |0
B880000384  |1     |B880000384 |600337      |1000000000                |0
B880000384  |1     |B880000384 |600338      |1000000000                |0
B880000384  |1     |B880000384 |600339      |1000000000                |0
B880000384  |1     |B880000384 |600340      |1000000000                |0
B880000384  |1     |B880000384 |600343      |1000000000                |0
B880000384  |1     |B880000384 |600345      |1000000000                |0
B880000384  |1     |B880000384 |600346      |1000000000                |0
B880000384  |1     |B880000384 |600348      |1000000000                |0
B880000384  |1     |B880000384 |600350      |1000000000                |0
B880000384  |1     |B880000384 |600351      |1000000000                |0
B880000384  |1     |B880000384 |600352      |1000000000                |0
B880000384  |1     |B880000384 |600353      |1000000000                |0
B880000384  |1     |B880000384 |600354      |1000000000                |0
B880000384  |1     |B880000384 |600355      |1000000000                |0
B880000384  |1     |B880000384 |600356      |1000000000                |0
B880000384  |1     |B880000384 |600358      |1000000000                |0
B880000384  |1     |B880000384 |600359      |1000000000                |0
B880000384  |1     |B880000384 |600360      |1000000000                |0
B880000384  |1     |B880000384 |600361      |1000000000                |0
B880000384  |1     |B880000384 |600362      |1000000000                |0
B880000384  |1     |B880000384 |600363      |1000000000                |0
B880000384  |1     |B880000384 |600365      |1000000000                |0
B880000384  |1     |B880000384 |600366      |1000000000                |0
B880000384  |1     |B880000384 |600367      |1000000000                |0
B880000384  |1     |B880000384 |600368      |1000000000                |0
B880000384  |1     |B880000384 |600369      |1000000000                |0
B880000384  |1     |B880000384 |600370      |1000000000                |0
B880000384  |1     |B880000384 |600371      |1000000000                |0
B880000384  |1     |B880000384 |600372      |1000000000                |0
B880000384  |1     |B880000384 |600373      |1000000000                |0
B880000384  |1     |B880000384 |600375      |1000000000                |0
B880000384  |1     |B880000384 |600376      |1000000000                |0
B880000384  |1     |B880000384 |600377      |1000000000                |0
B880000384  |1     |B880000384 |600378      |1000000000                |0
B880000384  |1     |B880000384 |600379      |1000000000                |0
B880000384  |1     |B880000384 |600380      |1000000000                |0
B880000384  |1     |B880000384 |600381      |1000000000                |0
B880000384  |1     |B880000384 |600382      |1000000000                |0
B880000384  |1     |B880000384 |600383      |1000000000                |0
B880000384  |1     |B880000384 |600385      |1000000000                |0
B880000384  |1     |B880000384 |600386      |1000000000                |0
B880000384  |1     |B880000384 |600387      |1000000000                |0
B880000384  |1     |B880000384 |600388      |1000000000                |0
B880000384  |1     |B880000384 |600389      |1000000000                |0
B880000384  |1     |B880000384 |600390      |1000000000                |0
B880000384  |1     |B880000384 |600391      |1000000000                |0
B880000384  |1     |B880000384 |600392      |1000000000                |0
B880000384  |1     |B880000384 |600393      |1000000000                |0
B880000384  |1     |B880000384 |600395      |1000000000                |0
B880000384  |1     |B880000384 |600396      |1000000000                |0
B880000384  |1     |B880000384 |600397      |1000000000                |0
B880000384  |1     |B880000384 |600398      |1000000000                |0
B880000384  |1     |B880000384 |600399      |1000000000                |0
B880000384  |1     |B880000384 |600400      |1000000000                |0
B880000384  |1     |B880000384 |600401      |1000000000                |0
B880000384  |1     |B880000384 |600403      |1000000000                |0
B880000384  |1     |B880000384 |600405      |1000000000                |0
B880000384  |1     |B880000384 |600406      |1000000000                |0
B880000384  |1     |B880000384 |600408      |1000000000                |0
B880000384  |1     |B880000384 |600409      |1000000000                |0
B880000384  |1     |B880000384 |600410      |1000000000                |0
B880000384  |1     |B880000384 |600415      |1000000000                |0
B880000384  |1     |B880000384 |600416      |1000000000                |0
B880000384  |1     |B880000384 |600418      |1000000000                |0
B880000384  |1     |B880000384 |600419      |1000000000                |0
B880000384  |1     |B880000384 |600420      |1000000000                |0
B880000384  |1     |B880000384 |600421      |1000000000                |0
B880000384  |1     |B880000384 |600422      |1000000000                |0
B880000384  |1     |B880000384 |600423      |1000000000                |0
B880000384  |1     |B880000384 |600425      |1000000000                |0
B880000384  |1     |B880000384 |600426      |1000000000                |0
B880000384  |1     |B880000384 |600428      |1000000000                |0
B880000384  |1     |B880000384 |600429      |1000000000                |0
B880000384  |1     |B880000384 |600432      |1000000000                |0
B880000384  |1     |B880000384 |600433      |1000000000                |0
B880000384  |1     |B880000384 |600435      |1000000000                |0
B880000384  |1     |B880000384 |600436      |1000000000                |0
B880000384  |1     |B880000384 |600438      |1000000000                |0
B880000384  |1     |B880000384 |600439      |1000000000                |0
B880000384  |1     |B880000384 |600444      |1000000000                |0
B880000384  |1     |B880000384 |600446      |1000000000                |0
B880000384  |1     |B880000384 |600448      |1000000000                |0
B880000384  |1     |B880000384 |600449      |1000000000                |0
B880000384  |1     |B880000384 |600452      |1000000000                |0
B880000384  |1     |B880000384 |600455      |1000000000                |0
B880000384  |1     |B880000384 |600456      |1000000000                |0
B880000384  |1     |B880000384 |600458      |1000000000                |0
B880000384  |1     |B880000384 |600459      |1000000000                |0
B880000384  |1     |B880000384 |600460      |1000000000                |0
B880000384  |1     |B880000384 |600461      |1000000000                |0
B880000384  |1     |B880000384 |600462      |1000000000                |0
B880000384  |1     |B880000384 |600463      |1000000000                |0
B880000384  |1     |B880000384 |600466      |1000000000                |0
B880000384  |1     |B880000384 |600467      |1000000000                |0
B880000384  |1     |B880000384 |600468      |1000000000                |0
B880000384  |1     |B880000384 |600469      |1000000000                |0
B880000384  |1     |B880000384 |600470      |1000000000                |0
B880000384  |1     |B880000384 |600475      |1000000000                |0
B880000384  |1     |B880000384 |600476      |1000000000                |0
B880000384  |1     |B880000384 |600477      |1000000000                |0
B880000384  |1     |B880000384 |600478      |1000000000                |0
B880000384  |1     |B880000384 |600479      |1000000000                |0
B880000384  |1     |B880000384 |600480      |1000000000                |0
B880000384  |1     |B880000384 |600481      |1000000000                |0
B880000384  |1     |B880000384 |600482      |1000000000                |0
B880000384  |1     |B880000384 |600483      |1000000000                |0
B880000384  |1     |B880000384 |600485      |1000000000                |0
B880000384  |1     |B880000384 |600486      |1000000000                |0
B880000384  |1     |B880000384 |600487      |1000000000                |0
B880000384  |1     |B880000384 |600488      |1000000000                |0
B880000384  |1     |B880000384 |600489      |1000000000                |0
B880000384  |1     |B880000384 |600490      |1000000000                |0
B880000384  |1     |B880000384 |600491      |1000000000                |0
B880000384  |1     |B880000384 |600493      |1000000000                |0
B880000384  |1     |B880000384 |600495      |1000000000                |0
B880000384  |1     |B880000384 |600496      |1000000000                |0
B880000384  |1     |B880000384 |600497      |1000000000                |0
B880000384  |1     |B880000384 |600498      |1000000000                |0
B880000384  |1     |B880000384 |600499      |1000000000                |0
B880000384  |1     |B880000384 |600500      |1000000000                |0
B880000384  |1     |B880000384 |600501      |1000000000                |0
B880000384  |1     |B880000384 |600502      |1000000000                |0
B880000384  |1     |B880000384 |600503      |1000000000                |0
B880000384  |1     |B880000384 |600505      |1000000000                |0
B880000384  |1     |B880000384 |600506      |1000000000                |0
B880000384  |1     |B880000384 |600507      |1000000000                |0
B880000384  |1     |B880000384 |600508      |1000000000                |0
B880000384  |1     |B880000384 |600509      |1000000000                |0
B880000384  |1     |B880000384 |600510      |1000000000                |0
B880000384  |1     |B880000384 |600511      |1000000000                |0
B880000384  |1     |B880000384 |600512      |1000000000                |0
B880000384  |1     |B880000384 |600513      |1000000000                |0
B880000384  |1     |B880000384 |600515      |1000000000                |0
B880000384  |1     |B880000384 |600516      |1000000000                |0
B880000384  |1     |B880000384 |600517      |1000000000                |0
B880000384  |1     |B880000384 |600518      |1000000000                |0
B880000384  |1     |B880000384 |600519      |1000000000                |0
B880000384  |1     |B880000384 |600520      |1000000000                |0
B880000384  |1     |B880000384 |600521      |1000000000                |0
B880000384  |1     |B880000384 |600522      |1000000000                |0
B880000384  |1     |B880000384 |600523      |1000000000                |0
B880000384  |1     |B880000384 |600525      |1000000000                |0
B880000384  |1     |B880000384 |600526      |1000000000                |0
B880000384  |1     |B880000384 |600527      |1000000000                |0
B880000384  |1     |B880000384 |600528      |1000000000                |0
B880000384  |1     |B880000384 |600529      |1000000000                |0
B880000384  |1     |B880000384 |600530      |1000000000                |0
B880000384  |1     |B880000384 |600531      |1000000000                |0
B880000384  |1     |B880000384 |600532      |1000000000                |0
B880000384  |1     |B880000384 |600533      |1000000000                |0
B880000384  |1     |B880000384 |600535      |1000000000                |0
B880000384  |1     |B880000384 |600536      |1000000000                |0
B880000384  |1     |B880000384 |600537      |1000000000                |0
B880000384  |1     |B880000384 |600538      |1000000000                |0
B880000384  |1     |B880000384 |600539      |1000000000                |0
B880000384  |1     |B880000384 |600540      |1000000000                |0
B880000384  |1     |B880000384 |600543      |1000000000                |0
B880000384  |1     |B880000384 |600545      |1000000000                |0
B880000384  |1     |B880000384 |600546      |1000000000                |0
B880000384  |1     |B880000384 |600547      |1000000000                |0
B880000384  |1     |B880000384 |600548      |1000000000                |0
B880000384  |1     |B880000384 |600549      |1000000000                |0
B880000384  |1     |B880000384 |600550      |1000000000                |0
B880000384  |1     |B880000384 |600551      |1000000000                |0
B880000384  |1     |B880000384 |600552      |1000000000                |0
B880000384  |1     |B880000384 |600555      |1000000000                |0
B880000384  |1     |B880000384 |600556      |1000000000                |0
B880000384  |1     |B880000384 |600557      |1000000000                |0
B880000384  |1     |B880000384 |600558      |1000000000                |0
B880000384  |1     |B880000384 |600559      |1000000000                |0
B880000384  |1     |B880000384 |600560      |1000000000                |0
B880000384  |1     |B880000384 |600561      |1000000000                |0
B880000384  |1     |B880000384 |600562      |1000000000                |0
B880000384  |1     |B880000384 |600563      |1000000000                |0
B880000384  |1     |B880000384 |600565      |1000000000                |0
B880000384  |1     |B880000384 |600566      |1000000000                |0
B880000384  |1     |B880000384 |600567      |1000000000                |0
B880000384  |1     |B880000384 |600568      |1000000000                |0
B880000384  |1     |B880000384 |600569      |1000000000                |0
B880000384  |1     |B880000384 |600570      |1000000000                |0
B880000384  |1     |B880000384 |600571      |1000000000                |0
B880000384  |1     |B880000384 |600572      |1000000000                |0
B880000384  |1     |B880000384 |600573      |1000000000                |0
B880000384  |1     |B880000384 |600575      |1000000000                |0
B880000384  |1     |B880000384 |600576      |1000000000                |0
B880000384  |1     |B880000384 |600577      |1000000000                |0
B880000384  |1     |B880000384 |600578      |1000000000                |0
B880000384  |1     |B880000384 |600579      |1000000000                |0
B880000384  |1     |B880000384 |600580      |1000000000                |0
B880000384  |1     |B880000384 |600581      |1000000000                |0
B880000384  |1     |B880000384 |600582      |1000000000                |0
B880000384  |1     |B880000384 |600583      |1000000000                |0
B880000384  |1     |B880000384 |600584      |1000000000                |0
B880000384  |1     |B880000384 |600585      |1000000000                |0
B880000384  |1     |B880000384 |600586      |1000000000                |0
B880000384  |1     |B880000384 |600587      |1000000000                |0
B880000384  |1     |B880000384 |600588      |1000000000                |0
B880000384  |1     |B880000384 |600589      |1000000000                |0
B880000384  |1     |B880000384 |600590      |1000000000                |0
B880000384  |1     |B880000384 |600592      |1000000000                |0
B880000384  |1     |B880000384 |600593      |1000000000                |0
B880000384  |1     |B880000384 |600594      |1000000000                |0
B880000384  |1     |B880000384 |600595      |1000000000                |0
B880000384  |1     |B880000384 |600596      |1000000000                |0
B880000384  |1     |B880000384 |600597      |1000000000                |0
B880000384  |1     |B880000384 |600598      |1000000000                |0
B880000384  |1     |B880000384 |600599      |1000000000                |0
B880000384  |1     |B880000384 |600600      |1000000000                |0
B880000384  |1     |B880000384 |600601      |1000000000                |0
B880000384  |1     |B880000384 |600602      |1000000000                |0
B880000384  |1     |B880000384 |600603      |1000000000                |0
B880000384  |1     |B880000384 |600604      |1000000000                |0
B880000384  |1     |B880000384 |600605      |1000000000                |0
B880000384  |1     |B880000384 |600606      |1000000000                |0
B880000384  |1     |B880000384 |600608      |1000000000                |0
B880000384  |1     |B880000384 |600609      |1000000000                |0
B880000384  |1     |B880000384 |600610      |1000000000                |0
B880000384  |1     |B880000384 |600611      |1000000000                |0
B880000384  |1     |B880000384 |600612      |1000000000                |0
B880000384  |1     |B880000384 |600613      |1000000000                |0
B880000384  |1     |B880000384 |600614      |1000000000                |0
B880000384  |1     |B880000384 |600615      |1000000000                |0
B880000384  |1     |B880000384 |600616      |1000000000                |0
B880000384  |1     |B880000384 |600617      |1000000000                |0
B880000384  |1     |B880000384 |600618      |1000000000                |0
B880000384  |1     |B880000384 |600619      |1000000000                |0
